,CHLA,ALK,TDP,TDN,K,MG,SRSI,MN,CL,FE,SO4,DOC,NO3,PARTN,NA,COND,NH3,DIC,PARTP,PH,CA,NO2,PARTC,SECCHI_DEPTHS,MEAN_DAILY_DISCHARGE,clusters
98,3.33,184.0,3.0,243.0,0.44,0.84,2.038,0.0,0.25,0.0,1.38,574.0,10.0,39.15,1.02,27.0,17.0,218.0,5.0,6.75,2.87,0.0,454.25,4.625,0.004,0
99,1.415,355.0,2.5,182.5,0.395,0.68,0.5905,0.06345,0.165,0.0,0.88,340.0,2.0,39.15,0.675,24.5,17.0,232.5,4.0,6.81,2.84,0.0,454.25,5.5,0.004,0
100,1.09,125.0,3.0,299.0,0.36,0.75,0.6,0.0178,0.19,0.02,1.36,508.0,52.0,36.0,0.63,21.0,17.0,214.0,8.0,6.39,1.94,0.0,421.6,4.25,0.004,0
101,1.9,146.8,4.0,261.0,0.43,0.76,2.201,0.0,0.2,0.0,1.84,509.0,37.0,36.0,1.04,27.0,17.0,234.0,4.0,6.64,2.79,1.0,398.2,4.0,0.004,0
102,1.6475,138.0,10.0,455.0,0.36,0.81,4.842,0.0,0.09,0.27,1.5,1363.0,13.0,0.0,1.45,25.0,17.0,218.0,2.0,6.22,3.11,3.0,266.9,4.25,0.013,3
103,1.6475,0.0,9.0,503.0,0.28,0.36,4.886,0.0,0.07,0.38,0.99,2082.0,3.0,0.0,0.71,32.0,17.0,232.0,3.0,4.29,1.03,4.0,307.1,4.25,0.0014,2
104,1.6475,18.0,7.0,482.0,0.19,0.4,3.925,0.0,0.11,0.25,1.84,1154.0,11.0,29.0,0.81,19.0,17.0,247.0,3.0,4.98,1.31,2.0,240.3,4.25,0.0037,2
105,1.6475,164.0,4.0,269.0,0.43,0.75,0.013,0.0,0.22,0.02,1.84,514.0,48.0,41.0,1.09,26.0,17.0,220.0,3.0,6.67,2.77,1.0,325.6,4.25,0.004,0
106,1.51,177.0,4.0,198.0,0.37,0.62,0.814,0.0628,0.18,0.0,1.39,254.0,11.0,44.0,0.73,25.0,17.0,234.0,5.0,7.02,2.83,1.0,383.3,4.0,0.004,0
107,1.6475,184.0,9.0,488.0,0.44,1.04,4.655,0.0,0.1,0.35,1.7,1498.0,6.0,23.0,1.88,29.0,17.0,266.0,3.0,6.43,4.02,1.0,291.9,4.25,0.01,3
108,1.6475,0.0,11.0,526.0,0.28,0.41,5.357,0.0,0.09,0.46,1.01,2400.0,2.0,42.0,0.78,32.0,17.0,247.0,4.0,4.66,1.18,2.0,298.7,4.25,0.0008,2
109,1.6475,329.0,2.0,223.5,0.475,0.835,2.2555,0.0,0.225,0.0,2.055,507.5,14.0,67.5,1.17,26.5,17.0,198.0,5.0,6.94,3.095,1.0,525.5,4.25,0.004,0
110,4.35,167.0,3.0,248.0,0.51,0.89,2.314,0.0,0.25,0.0,2.19,515.0,10.0,62.0,1.24,27.0,17.0,204.0,7.0,6.94,3.32,1.0,518.5,3.25,0.004,0
111,1.6475,154.0,8.0,561.0,0.39,0.92,5.665,0.0,0.12,0.31,1.71,1500.0,13.0,30.0,1.79,27.0,17.0,206.0,3.0,6.41,3.56,1.0,204.4,4.25,0.015,3
112,1.6475,0.0,9.0,519.0,0.28,0.45,4.862,0.0,0.11,0.46,0.94,2334.0,2.0,24.0,0.83,32.0,17.0,236.0,5.0,4.27,1.29,2.0,243.8,4.25,0.002,2
113,1.6475,19.0,6.0,427.0,0.12,0.47,4.489,0.0,0.09,0.32,1.79,1359.0,15.0,0.0,0.96,21.0,17.0,280.0,3.0,4.9,1.63,1.0,134.5,4.25,0.0032,2
114,1.6475,331.0,2.5,310.0,0.555,0.825,2.2535,0.0,0.33,0.0,2.245,519.5,14.0,71.0,1.23,26.0,17.0,192.5,5.5,7.0,3.06,1.0,629.25,4.25,0.004,0
115,1.6475,232.0,12.0,716.0,0.59,1.17,4.507,0.0,0.26,0.42,1.37,1606.0,2.0,23.0,2.03,33.0,17.0,303.0,3.0,6.52,4.51,2.0,262.4,4.25,0.007,3
116,1.6475,0.0,11.0,533.0,0.24,0.45,5.033,0.0,0.12,0.5,0.58,2541.0,2.0,19.0,0.81,31.0,17.0,266.0,3.0,4.29,1.32,3.0,388.4,4.25,0.0009,2
117,1.6475,28.0,8.0,617.0,0.27,0.45,4.598,0.0,0.34,0.35,1.71,1472.0,7.0,21.0,1.05,19.0,17.0,359.0,2.0,4.96,1.57,2.0,285.3,4.25,0.0013,2
118,1.6475,172.0,9.0,227.0,0.44,0.82,2.158,0.0,0.25,0.0,2.16,537.0,2.0,132.0,1.13,26.0,17.0,189.0,12.0,7.01,3.04,0.0,1953.0,4.25,0.004,0
119,4.0,257.0,3.0,237.0,0.43,0.865,0.4875,0.0,0.2,0.0,1.36,500.0,2.0,68.0,0.725,20.0,17.0,143.0,7.5,7.05,2.23,0.0,581.25,4.25,0.004,0
120,1.6475,177.0,11.0,737.0,0.37,0.99,5.643,0.0,0.16,0.41,1.15,1995.0,9.0,30.0,1.78,28.0,17.0,241.0,3.0,6.21,3.96,2.0,318.4,4.25,0.023,3
121,1.6475,0.0,9.0,594.0,0.25,0.51,4.122,0.0,0.12,0.53,0.43,2791.0,2.0,29.0,0.9,34.0,17.0,267.0,4.0,4.19,1.52,3.0,438.3,4.25,0.004,2
122,1.6475,24.0,9.0,566.0,0.1,0.53,4.535,0.0,0.15,0.41,1.37,1989.0,2.0,41.0,1.03,19.0,17.0,273.0,6.0,4.89,1.88,3.0,631.0,4.25,0.0053,2
123,1.6475,163.0,4.0,265.0,0.42,0.78,2.053,0.0,0.28,0.0,2.16,547.0,2.0,83.0,1.07,25.0,17.0,171.0,9.0,7.18,2.85,0.0,1108.5,4.25,0.004,0
124,2.96,164.0,3.0,229.0,0.39,0.76,2.131,0.0,0.34,0.02,2.1,524.0,3.0,112.0,1.07,26.0,17.0,188.0,4.0,7.12,2.8,0.0,909.2,3.25,0.004,0
